date,snp500,spy,qqq,dia,iwm,voo
2024-04-03,101.57,101.39,99.57,100.26,100.06,101.38
2024-04-02,101.46,101.28,99.34,100.36,99.41,101.29
2024-04-01,102.20,101.92,100.21,101.31,101.27,101.95
2024-03-31,102.20,101.92,100.21,101.31,101.27,101.95
2024-03-30,102.20,101.92,100.21,101.31,101.27,101.95
2024-03-29,102.20,101.92,100.21,101.31,101.27,101.95
2024-03-28,102.41,102.10,100.00,101.93,102.24,102.09
2024-03-27,102.29,102.12,100.18,101.88,101.92,102.10
2024-03-26,101.42,101.27,99.84,100.67,99.74,101.22
2024-03-25,101.70,101.46,100.17,100.70,99.92,101.50
2024-03-24,101.70,101.46,100.17,100.70,99.92,101.50
2024-03-23,101.70,101.46,100.17,100.70,99.92,101.50
2024-03-22,102.01,101.74,100.53,101.10,99.69,101.76
2024-03-21,102.16,101.93,100.42,101.93,101.09,102.23
2024-03-20,101.83,101.60,99.94,101.22,100.19,101.89
2024-03-19,100.93,100.67,98.77,100.17,98.25,101.00
2024-03-18,100.36,100.11,98.53,99.36,97.84,100.44
2024-03-17,100.36,100.11,98.53,99.36,97.84,100.44
2024-03-16,100.36,100.11,98.53,99.36,97.84,100.44
2024-03-15,99.73,99.52,97.73,99.17,98.40,99.82
2024-03-14,100.38,100.52,98.90,99.96,98.22,100.51
2024-03-13,100.67,100.72,99.15,100.25,100.00,100.73
2024-03-12,100.86,100.87,99.92,100.14,99.62,100.88
2024-03-11,99.75,99.80,98.51,99.54,99.75,99.82
2024-03-10,99.75,99.80,98.51,99.54,99.75,99.82
2024-03-09,99.75,99.80,98.51,99.54,99.75,99.82
2024-03-08,99.86,99.89,98.87,99.43,100.55,99.90
2024-03-07,100.51,100.49,100.32,99.54,100.61,100.51
2024-03-06,99.49,99.50,98.82,99.22,99.78,99.52
2024-03-05,98.98,99.00,98.21,98.96,99.04,99.00
2024-03-04,100.00,100.00,100.00,100.00,100.00,100.00
