date,snp500,spy,qqq,dia,iwm,voo
2024-04-03,120.39,120.19,131.07,116.28,103.61,120.14
2024-04-02,120.26,120.05,130.78,116.39,102.93,120.03
2024-04-01,121.13,120.82,131.92,117.49,104.86,120.82
2024-03-31,121.13,120.82,131.92,117.49,104.86,120.82
2024-03-30,121.13,120.82,131.92,117.49,104.86,120.82
2024-03-29,121.13,120.82,131.92,117.49,104.86,120.82
2024-03-28,121.38,121.03,131.64,118.22,105.86,120.98
2024-03-27,121.24,121.06,131.88,118.16,105.53,120.99
2024-03-26,120.21,120.05,131.43,116.76,103.28,119.95
2024-03-25,120.54,120.27,131.86,116.79,103.46,120.28
2024-03-24,120.54,120.27,131.86,116.79,103.46,120.28
2024-03-23,120.54,120.27,131.86,116.79,103.46,120.28
2024-03-22,120.91,120.60,132.34,117.26,103.23,120.60
2024-03-21,121.08,120.83,132.19,118.21,104.67,121.14
2024-03-20,120.69,120.43,131.57,117.39,103.75,120.74
2024-03-19,119.63,119.33,130.02,116.18,101.73,119.70
2024-03-18,118.96,118.67,129.70,115.23,101.30,119.03
2024-03-17,118.96,118.67,129.70,115.23,101.30,119.03
2024-03-16,118.96,118.67,129.70,115.23,101.30,119.03
2024-03-15,118.21,117.97,128.65,115.02,101.89,118.29
2024-03-14,118.98,119.15,130.19,115.93,101.70,119.11
2024-03-13,119.32,119.39,130.52,116.27,103.55,119.37
2024-03-12,119.55,119.58,131.53,116.14,103.15,119.55
2024-03-11,118.23,118.31,129.67,115.44,103.29,118.29
2024-03-10,118.23,118.31,129.67,115.44,103.29,118.29
2024-03-09,118.23,118.31,129.67,115.44,103.29,118.29
2024-03-08,118.36,118.41,130.16,115.31,104.11,118.38
2024-03-07,119.14,119.12,132.06,115.45,104.18,119.11
2024-03-06,117.92,117.95,130.09,115.07,103.32,117.94
2024-03-05,117.32,117.36,129.28,114.78,102.55,117.32
2024-03-04,118.53,118.54,131.64,115.98,103.54,118.51
2024-03-03,118.53,118.54,131.64,115.98,103.54,118.51
2024-03-02,118.53,118.54,131.64,115.98,103.54,118.51
2024-03-01,118.67,118.67,132.11,116.30,103.64,118.65
2024-02-29,117.73,117.56,130.15,115.89,102.55,117.51
2024-02-28,117.12,117.14,129.05,115.79,101.84,117.08
2024-02-27,117.31,117.30,129.74,115.81,102.69,117.26
2024-02-26,117.11,117.08,129.42,116.12,101.25,117.05
2024-02-25,117.11,117.08,129.42,116.12,101.25,117.05
2024-02-24,117.11,117.08,129.42,116.12,101.25,117.05
2024-02-23,117.55,117.51,129.49,116.29,100.62,117.48
2024-02-22,117.51,117.43,129.88,116.07,100.39,117.42
2024-02-21,115.08,115.05,126.18,114.74,99.64,115.01
2024-02-20,114.94,114.95,126.69,114.63,100.11,114.89
2024-02-19,114.94,114.95,126.69,114.63,100.11,114.89
2024-02-18,114.94,114.95,126.69,114.63,100.11,114.89
2024-02-17,114.94,114.95,126.69,114.63,100.11,114.89
2024-02-16,115.63,115.58,127.65,114.78,101.51,115.53
2024-02-15,116.19,116.16,128.82,115.39,102.91,116.12
2024-02-14,115.52,115.36,128.44,114.21,100.24,115.34
2024-02-13,114.42,114.33,127.05,113.78,97.96,114.25
2024-02-12,116.01,115.92,129.07,115.35,102.16,115.89
2024-02-11,116.01,115.92,129.07,115.35,102.16,115.89
2024-02-10,116.01,115.92,129.07,115.35,102.16,115.89
2024-02-09,116.12,115.97,129.57,114.93,100.34,115.94
2024-02-08,115.46,115.31,128.31,115.12,98.74,115.28
2024-02-07,115.39,115.26,128.07,114.92,97.26,115.21
2024-02-06,114.45,114.30,126.77,114.45,97.49,114.27
2024-02-05,114.18,113.97,127.02,114.00,96.62,113.91
2024-02-04,114.18,113.97,127.02,114.00,96.62,113.91
2024-02-03,114.18,113.97,127.02,114.00,96.62,113.91
2024-02-02,114.55,114.39,127.19,114.85,97.86,114.33
2024-02-01,113.34,113.20,125.08,114.45,98.38,113.17
2024-01-31,111.94,111.73,123.62,113.34,97.09,111.70
2024-01-30,113.77,113.59,126.09,114.27,99.52,113.55
2024-01-29,113.84,113.68,126.93,113.92,100.38,113.63
2024-01-28,113.84,113.68,126.93,113.92,100.38,113.63
2024-01-27,113.84,113.68,126.93,113.92,100.38,113.63
2024-01-26,112.98,112.78,125.65,113.26,98.65,112.81
2024-01-25,113.06,112.93,126.40,113.08,98.65,112.88
2024-01-24,112.47,112.31,126.25,112.37,97.84,112.24
2024-01-23,112.38,112.19,125.55,112.65,98.65,112.15
2024-01-22,112.05,111.87,125.03,112.96,98.93,111.82
2024-01-21,112.05,111.87,125.03,112.96,98.93,111.82
2024-01-20,112.05,111.87,125.03,112.96,98.93,111.82
2024-01-19,111.80,111.63,124.87,112.52,96.86,111.56
2024-01-18,110.44,110.26,122.44,111.39,95.94,110.22
2024-01-17,109.48,109.28,120.73,110.77,95.38,109.24
2024-01-16,110.10,109.89,121.41,111.05,96.06,109.86
2024-01-15,110.10,109.89,121.41,111.05,96.06,109.86
2024-01-14,110.10,109.89,121.41,111.05,96.06,109.86
2024-01-13,110.10,109.89,121.41,111.05,96.06,109.86
2024-01-12,110.51,110.30,121.42,111.72,97.27,110.23
2024-01-11,110.43,110.22,121.36,112.10,97.43,110.18
2024-01-10,110.50,110.27,121.11,112.03,98.20,110.22
2024-01-09,109.88,109.65,120.29,111.50,98.14,109.50
2024-01-08,110.04,109.82,120.06,112.00,99.03,109.76
2024-01-07,110.04,109.82,120.06,112.00,99.03,109.76
2024-01-06,110.04,109.82,120.06,112.00,99.03,109.76
2024-01-05,108.51,108.27,117.63,111.34,97.28,108.21
2024-01-04,108.31,108.12,117.49,111.31,97.56,108.08
2024-01-03,108.68,108.47,118.09,111.22,97.75,108.42
2024-01-02,109.56,109.37,119.36,112.07,100.43,109.23
2024-01-01,109.56,109.37,119.36,112.07,100.43,109.23
2023-12-31,109.56,109.37,119.36,112.07,100.43,109.23
2023-12-30,109.56,109.37,119.36,112.07,100.43,109.23
2023-12-29,110.19,109.98,121.41,112.01,101.03,109.93
2023-12-28,110.50,110.30,121.94,112.05,102.71,110.23
2023-12-27,110.46,110.26,122.00,111.91,103.10,110.21
2023-12-26,110.30,110.06,121.81,111.56,102.74,110.01
2023-12-25,110.30,110.06,121.81,111.56,102.74,110.01
2023-12-24,110.30,110.06,121.81,111.56,102.74,110.01
2023-12-23,110.30,110.06,121.81,111.56,102.74,110.01
2023-12-22,109.84,109.60,121.07,111.09,101.42,109.55
2023-12-21,109.65,109.38,120.89,111.12,100.48,109.30
2023-12-20,108.54,108.35,119.50,110.20,98.80,108.24
2023-12-19,110.15,109.87,121.30,111.60,101.14,110.28
2023-12-18,109.51,109.21,120.69,110.85,99.22,109.61
2023-12-17,109.51,109.21,120.69,110.85,99.22,109.61
2023-12-16,109.51,109.21,120.69,110.85,99.22,109.61
2023-12-15,109.02,108.60,120.17,110.75,99.18,109.00
2023-12-14,109.02,109.22,119.59,110.95,100.03,109.16
2023-12-13,108.74,108.87,119.70,110.48,97.32,108.84
2023-12-12,107.27,107.39,118.19,108.90,94.13,107.38
2023-12-11,106.78,106.90,117.26,108.39,94.23,106.85
2023-12-10,106.78,106.90,117.26,108.39,94.23,106.85
2023-12-09,106.78,106.90,117.26,108.39,94.23,106.85
2023-12-08,106.36,106.49,116.27,107.92,94.03,106.44
