date,country,no_of_cases
2021-01-01,Algeria,2179.287
2021-01-02,Algeria,2179.287
2021-01-03,Algeria,2230.552
2021-01-04,Algeria,2230.552
2021-01-05,Algeria,2230.552
2021-01-06,Algeria,2230.552
2021-01-07,Algeria,2230.552
2021-01-08,Algeria,2230.552
2021-01-09,Algeria,2230.552
2021-01-10,Algeria,2269.614
2021-01-11,Algeria,2269.614
2021-01-12,Algeria,2269.614
2021-01-13,Algeria,2269.614
2021-01-14,Algeria,2269.614
2021-01-15,Algeria,2269.614
2021-01-16,Algeria,2269.614
2021-01-17,Algeria,2307.429
2021-01-18,Algeria,2307.429
2021-01-19,Algeria,2307.429
2021-01-20,Algeria,2307.429
2021-01-21,Algeria,2307.429
2021-01-22,Algeria,2307.429
2021-01-23,Algeria,2307.429
2021-01-24,Algeria,2346.58
2021-01-25,Algeria,2346.58
2021-01-26,Algeria,2346.58
2021-01-27,Algeria,2346.58
2021-01-28,Algeria,2346.58
2021-01-29,Algeria,2346.58
2021-01-30,Algeria,2346.58
2021-01-31,Algeria,2385.619
2021-02-01,Algeria,2385.619
2021-02-02,Algeria,2385.619
2021-02-03,Algeria,2385.619
2021-02-04,Algeria,2385.619
2021-02-05,Algeria,2385.619
2021-02-06,Algeria,2385.619
2021-02-07,Algeria,2424.146
2021-02-08,Algeria,2424.146
2021-02-09,Algeria,2424.146
2021-02-10,Algeria,2424.146
2021-02-11,Algeria,2424.146
2021-02-12,Algeria,2424.146
2021-02-13,Algeria,2424.146
2021-02-14,Algeria,2461.137
2021-02-15,Algeria,2461.137
2021-02-16,Algeria,2461.137
2021-02-17,Algeria,2461.137
2021-02-18,Algeria,2461.137
2021-02-19,Algeria,2461.137
2021-02-20,Algeria,2461.137
2021-02-21,Algeria,2488.997
2021-02-22,Algeria,2488.997
2021-02-23,Algeria,2488.997
2021-02-24,Algeria,2488.997
2021-02-25,Algeria,2488.997
2021-02-26,Algeria,2488.997
2021-02-27,Algeria,2488.997
2021-02-28,Algeria,2515.632
2021-03-01,Algeria,2515.632
2021-03-02,Algeria,2515.632
2021-03-03,Algeria,2515.632
2021-03-04,Algeria,2515.632
2021-03-05,Algeria,2515.632
2021-03-06,Algeria,2515.632
2021-03-07,Algeria,2541.109
2021-03-08,Algeria,2541.109
2021-03-09,Algeria,2541.109
